                      Label  Precision    Recall  F1 Score        AP
0          Transverse Crack   0.176471  0.120000  0.142857  0.021176
1        Longitudinal Crack   0.303502  0.651811  0.414159  0.382843
2               Block Crack   0.000000  0.000000  0.000000  0.000000
3           Alligator Crack   0.365226  0.849282  0.510791  0.579005
4               Edge Cracks   1.000000  0.032787  0.063492  0.032787
5                  Potholes   1.000000  0.066667  0.125000  0.066667
6                  Raveling   0.637255  0.135983  0.224138  0.117133
7   Corrugation and shoving   0.000000  0.000000  0.000000  0.000000
8                  Patching   0.695652  0.049844  0.093023  0.047533
9                   Manhole   0.833333  0.666667  0.740741  0.660606
10        Slippage Cracking   0.000000  0.000000  0.000000  0.000000
