                     Label  Precision    Recall  F1 Score        AP
0         Transverse Crack   0.400000  0.083333  0.137931  0.069444
1       Longitudinal Crack   0.233668  0.534483  0.325175  0.232583
2              Block Crack   0.000000  0.000000  0.000000  0.000000
3          Alligator Crack   0.617977  0.454545  0.523810  0.356181
4              Edge Cracks   0.000000  0.000000  0.000000  0.000000
5                 Potholes   0.333333  0.100000  0.153846  0.050000
6                 Raveling   0.200000  0.007722  0.014870  0.002703
7  Corrugation and shoving   0.000000  0.000000  0.000000  0.000000
8                 Patching   0.181818  0.012195  0.022857  0.003557
9                  Manhole   0.500000  0.375000  0.428571  0.343750
